Re,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
500000,-19.75,-1.2394,0.0961,0.09115,-0.0275,1,0.0461
500000,-19.5,-1.2433,0.09208,0.08702,-0.0293,1,0.0465
500000,-19.25,-1.2442,0.08875,0.08362,-0.0304,1,0.047
500000,-19,-1.2435,0.08589,0.08076,-0.0311,1,0.0476
500000,-18.75,-1.2449,0.08254,0.07738,-0.0322,1,0.0481
500000,-18.5,-1.247,0.07904,0.07383,-0.0334,1,0.0486
500000,-18.25,-1.2485,0.07562,0.07035,-0.0345,1,0.0491
500000,-18,-1.2494,0.07219,0.06686,-0.0356,1,0.0497
500000,-17.75,-1.2502,0.06881,0.0634,-0.0366,1,0.0503
500000,-17.5,-1.2528,0.06556,0.06006,-0.0376,1,0.051
500000,-17.25,-1.2529,0.06242,0.05682,-0.0385,1,0.0516
500000,-17,-1.2525,0.05937,0.05367,-0.0393,1,0.0522
500000,-16.75,-1.2574,0.05597,0.05025,-0.0398,1,0.053
500000,-16.5,-1.2597,0.05278,0.04702,-0.0405,1,0.0538
500000,-16.25,-1.2595,0.04988,0.04407,-0.041,1,0.0546
500000,-16,-1.258,0.04721,0.04133,-0.0414,1,0.0555
500000,-15.75,-1.2553,0.04471,0.03876,-0.0417,1,0.0565
500000,-15.5,-1.2509,0.04243,0.03639,-0.0418,1,0.0575
500000,-15.25,-1.2495,0.03996,0.03385,-0.0418,1,0.0585
500000,-15,-1.2499,0.0374,0.03126,-0.0416,1,0.0596
500000,-14.75,-1.2458,0.0353,0.02912,-0.0413,1,0.0609
500000,-14.5,-1.239,0.03352,0.02728,-0.041,1,0.0624
500000,-14.25,-1.23,0.03199,0.02566,-0.0405,1,0.0639
500000,-14,-1.2261,0.0301,0.02374,-0.0397,1,0.0656
500000,-13.75,-1.2196,0.0285,0.02213,-0.0388,1,0.0675
500000,-13.5,-1.2092,0.02727,0.02085,-0.038,1,0.0696
500000,-13.25,-1.1984,0.02612,0.01963,-0.037,1,0.0718
500000,-13,-1.1918,0.02475,0.01827,-0.0355,1,0.0742
500000,-12.75,-1.1804,0.02376,0.01726,-0.0343,1,0.0768
500000,-12.5,-1.1678,0.02291,0.01635,-0.033,1,0.0795
500000,-12.25,-1.1593,0.02187,0.01533,-0.0311,1,0.0824
500000,-12,-1.1466,0.02114,0.01458,-0.0295,1,0.0855
500000,-11.75,-1.135,0.02042,0.01383,-0.0276,1,0.0886
500000,-11.5,-1.1253,0.0197,0.01313,-0.0253,1,0.092
500000,-11.25,-1.1131,0.01921,0.0126,-0.0231,1,0.0955
500000,-11,-1.1071,0.01863,0.01203,-0.0198,1,0.099
500000,-10.75,-1.103,0.0182,0.01161,-0.0159,1,0.1024
500000,-10.5,-1.1003,0.01792,0.0113,-0.0114,1,0.1056
500000,-10.25,-1.1064,0.01762,0.011,-0.0053,1,0.1085
500000,-10,-1.105,0.01729,0.01068,-0.0006,1,0.1121
500000,-9.75,-1.099,0.01703,0.01041,0.0033,1,0.116
500000,-9.5,-1.0937,0.0167,0.01009,0.0072,1,0.1201
500000,-9.25,-1.0734,0.01632,0.00974,0.0082,0.9989,0.1261
500000,-9,-1.0392,0.01585,0.0093,0.0064,0.9962,0.1338
500000,-8.75,-1.0033,0.01546,0.00893,0.0043,0.9938,0.1422
500000,-8.5,-0.9683,0.015,0.00853,0.0024,0.9914,0.1519
500000,-8.25,-0.9359,0.01456,0.00814,0.0011,0.9874,0.1615
500000,-8,-0.9007,0.01418,0.0078,-0.0007,0.9842,0.1718
500000,-7.75,-0.8638,0.01381,0.00748,-0.0029,0.9818,0.1833
500000,-7.5,-0.8262,0.01339,0.00713,-0.0052,0.9799,0.1967
500000,-7.25,-0.7954,0.013,0.00682,-0.0061,0.9747,0.2094
500000,-7,-0.7599,0.01262,0.0065,-0.0079,0.9712,0.2227
500000,-6.75,-0.7225,0.01225,0.0062,-0.01,0.9684,0.2364
500000,-6.5,-0.6854,0.01191,0.0059,-0.0121,0.9658,0.2503
500000,-6.25,-0.6586,0.0116,0.00565,-0.0118,0.9579,0.2634
500000,-6,-0.627,0.01126,0.00537,-0.0126,0.9524,0.2773
500000,-5.75,-0.6001,0.01099,0.00515,-0.0124,0.9445,0.2904
500000,-5.5,-0.5725,0.01074,0.00492,-0.0122,0.9364,0.3036
500000,-5.25,-0.5471,0.01048,0.00471,-0.0115,0.927,0.3173
500000,-5,-0.5214,0.01023,0.0045,-0.0109,0.9175,0.3307
500000,-4.75,-0.4965,0.01003,0.00433,-0.0102,0.9064,0.3439
500000,-4.5,-0.4699,0.00985,0.00414,-0.0097,0.8963,0.3577
500000,-4.25,-0.4455,0.00964,0.00399,-0.0088,0.8833,0.3718
500000,-4,-0.4198,0.00947,0.00384,-0.0082,0.871,0.3857
500000,-3.75,-0.3937,0.00933,0.00368,-0.0076,0.8584,0.3999
500000,-3.5,-0.3678,0.0092,0.00356,-0.007,0.8441,0.4145
500000,-3.25,-0.3421,0.00906,0.00344,-0.0064,0.8302,0.4291
500000,-3,-0.316,0.00895,0.00332,-0.0059,0.816,0.4436
500000,-2.75,-0.2897,0.00886,0.00322,-0.0054,0.8007,0.4583
500000,-2.5,-0.2634,0.00877,0.00314,-0.0049,0.7852,0.4732
500000,-2.25,-0.2373,0.00868,0.00306,-0.0043,0.77,0.4879
500000,-2,-0.211,0.00862,0.00298,-0.0038,0.7544,0.5022
500000,-1.75,-0.1846,0.00858,0.00291,-0.0033,0.7382,0.517
500000,-1.5,-0.1582,0.00852,0.00286,-0.0029,0.7219,0.5322
500000,-1.25,-0.1319,0.00847,0.00282,-0.0024,0.7058,0.5473
500000,-1,-0.1056,0.00844,0.00278,-0.0019,0.6898,0.5624
500000,-0.75,-0.0791,0.00843,0.00275,-0.0014,0.6737,0.5779
500000,-0.5,-0.0527,0.00842,0.00273,-0.001,0.6572,0.5938
500000,-0.25,-0.0264,0.00839,0.00272,-0.0005,0.641,0.6096
500000,0,0,0.00838,0.00272,0,0.6252,0.6252
500000,0.25,0.0264,0.00839,0.00272,0.0005,0.6096,0.641
500000,0.5,0.0527,0.00842,0.00273,0.0009,0.5938,0.6573
500000,0.75,0.0792,0.00843,0.00275,0.0014,0.578,0.6737
500000,1,0.1056,0.00844,0.00278,0.0019,0.5624,0.6899
500000,1.25,0.1319,0.00847,0.00282,0.0024,0.5473,0.7059
500000,1.5,0.1582,0.00852,0.00286,0.0029,0.5322,0.7219
500000,1.75,0.1846,0.00858,0.00291,0.0033,0.517,0.7382
500000,2,0.2111,0.00862,0.00298,0.0038,0.5022,0.7544
500000,2.25,0.2374,0.00868,0.00306,0.0043,0.4879,0.7699
500000,2.5,0.2634,0.00877,0.00314,0.0049,0.4732,0.7853
500000,2.75,0.2898,0.00886,0.00322,0.0053,0.4583,0.8007
500000,3,0.316,0.00895,0.00332,0.0059,0.4436,0.8159
500000,3.25,0.3421,0.00906,0.00344,0.0064,0.4291,0.8301
500000,3.5,0.3679,0.0092,0.00356,0.007,0.4145,0.8441
500000,3.75,0.3937,0.00933,0.00368,0.0076,0.3999,0.8584
500000,4,0.4199,0.00947,0.00384,0.0082,0.3857,0.871
500000,4.25,0.4455,0.00964,0.00399,0.0088,0.3718,0.8832
500000,4.5,0.47,0.00985,0.00414,0.0097,0.3577,0.8963
500000,4.75,0.4965,0.01003,0.00433,0.0102,0.3438,0.9064
500000,5,0.5215,0.01023,0.0045,0.0109,0.3307,0.9175
500000,5.25,0.5472,0.01048,0.00471,0.0115,0.3173,0.927
500000,5.5,0.5725,0.01074,0.00492,0.0122,0.3036,0.9364
500000,5.75,0.6001,0.01099,0.00515,0.0124,0.2904,0.9445
500000,6,0.6271,0.01126,0.00537,0.0126,0.2773,0.9524
500000,6.25,0.6587,0.0116,0.00565,0.0118,0.2634,0.9579
500000,6.5,0.6855,0.01191,0.0059,0.012,0.2503,0.9658
500000,6.75,0.7226,0.01225,0.0062,0.01,0.2364,0.9685
500000,7,0.76,0.01262,0.0065,0.0079,0.2227,0.9712
500000,7.25,0.7956,0.013,0.00682,0.006,0.2094,0.9748
500000,7.5,0.8265,0.01339,0.00713,0.0052,0.1966,0.9799
500000,7.75,0.864,0.01381,0.00747,0.0028,0.1832,0.9818
500000,8,0.9009,0.01417,0.0078,0.0007,0.1717,0.9842
500000,8.25,0.9361,0.01456,0.00814,-0.0011,0.1614,0.9875
500000,8.5,0.9685,0.015,0.00853,-0.0024,0.1519,0.9914
500000,8.75,1.0035,0.01546,0.00892,-0.0044,0.1422,0.9938
500000,9,1.0395,0.01584,0.00929,-0.0064,0.1337,0.9963
500000,9.25,1.0737,0.01632,0.00973,-0.0082,0.1261,0.9989
500000,9.5,1.0936,0.01669,0.01008,-0.0072,0.1202,1
500000,9.75,1.0988,0.01702,0.0104,-0.0032,0.116,1
500000,10,1.1049,0.01728,0.01068,0.0006,0.1121,1
